sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 112
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 0
Initializing worker threads...

Threads started!

[ 450s] threads: 112, tps: 4.30, reads: 67.30, writes: 14.50, response time: 234.35ms (95%), errors: 0.00, reconnects:  0.00
[ 460s] threads: 112, tps: 3065.30, reads: 42859.15, writes: 9175.51, response time: 26.65ms (95%), errors: 0.00, reconnects:  0.00
[ 470s] threads: 112, tps: 6354.60, reads: 88960.70, writes: 19063.00, response time: 26.51ms (95%), errors: 0.00, reconnects:  0.00
[ 480s] threads: 112, tps: 5095.50, reads: 71343.91, writes: 15287.50, response time: 37.21ms (95%), errors: 0.00, reconnects:  0.00
[ 490s] threads: 112, tps: 4526.70, reads: 63364.50, writes: 13579.50, response time: 40.51ms (95%), errors: 0.00, reconnects:  0.00
[ 500s] threads: 112, tps: 2048.39, reads: 28738.23, writes: 6165.76, response time: 389.01ms (95%), errors: 0.00, reconnects:  0.00
[ 510s] threads: 112, tps: 1174.00, reads: 16434.61, writes: 3521.40, response time: 438.50ms (95%), errors: 0.00, reconnects:  0.00
[ 520s] threads: 112, tps: 966.00, reads: 13525.80, writes: 2898.80, response time: 496.05ms (95%), errors: 0.00, reconnects:  0.00
[ 530s] threads: 112, tps: 491.00, reads: 6810.23, writes: 1452.61, response time: 49.71ms (95%), errors: 0.00, reconnects:  0.00
[ 540s] threads: 112, tps: 4319.60, reads: 60472.28, writes: 12957.60, response time: 44.00ms (95%), errors: 0.00, reconnects:  0.00
[ 550s] threads: 112, tps: 4200.50, reads: 58817.02, writes: 12603.80, response time: 47.10ms (95%), errors: 0.00, reconnects:  0.00
[ 560s] threads: 112, tps: 4071.30, reads: 56996.40, writes: 12214.60, response time: 47.53ms (95%), errors: 0.00, reconnects:  0.00
[ 570s] threads: 112, tps: 1878.99, reads: 26361.48, writes: 5655.17, response time: 377.54ms (95%), errors: 0.00, reconnects:  0.00
[ 580s] threads: 112, tps: 846.80, reads: 11854.30, writes: 2539.80, response time: 441.92ms (95%), errors: 0.00, reconnects:  0.00
[ 590s] threads: 112, tps: 1429.81, reads: 19969.90, writes: 4272.62, response time: 459.32ms (95%), errors: 0.00, reconnects:  0.00
[ 600s] threads: 112, tps: 1472.59, reads: 20666.72, writes: 4435.58, response time: 526.66ms (95%), errors: 0.00, reconnects:  0.00
[ 610s] threads: 112, tps: 656.00, reads: 9126.64, writes: 1948.01, response time: 51.79ms (95%), errors: 0.00, reconnects:  0.00
[ 620s] threads: 112, tps: 4296.20, reads: 60139.90, writes: 12888.20, response time: 43.41ms (95%), errors: 0.00, reconnects:  0.00
[ 630s] threads: 112, tps: 4297.80, reads: 60171.80, writes: 12893.00, response time: 44.49ms (95%), errors: 0.00, reconnects:  0.00
[ 640s] threads: 112, tps: 4154.80, reads: 58181.10, writes: 12467.20, response time: 46.98ms (95%), errors: 0.00, reconnects:  0.00
[ 650s] threads: 112, tps: 1312.19, reads: 18407.92, writes: 3951.78, response time: 408.22ms (95%), errors: 0.00, reconnects:  0.00
[ 660s] threads: 112, tps: 869.90, reads: 12184.60, writes: 2610.90, response time: 439.29ms (95%), errors: 0.00, reconnects:  0.00
[ 670s] threads: 112, tps: 1876.21, reads: 26214.89, writes: 5610.22, response time: 346.67ms (95%), errors: 0.00, reconnects:  0.00
[ 680s] threads: 112, tps: 1265.59, reads: 17771.33, writes: 3815.18, response time: 534.28ms (95%), errors: 0.00, reconnects:  0.00
[ 690s] threads: 112, tps: 141.00, reads: 1944.31, writes: 411.00, response time: 6169.75ms (95%), errors: 0.00, reconnects:  0.00
[ 700s] threads: 112, tps: 3803.31, reads: 53221.17, writes: 11403.72, response time: 56.05ms (95%), errors: 0.00, reconnects:  0.00
[ 710s] threads: 112, tps: 3713.60, reads: 51998.67, writes: 11141.79, response time: 52.03ms (95%), errors: 0.00, reconnects:  0.00
[ 720s] threads: 112, tps: 3444.80, reads: 48222.32, writes: 10334.80, response time: 53.83ms (95%), errors: 0.00, reconnects:  0.00
[ 730s] threads: 112, tps: 3404.10, reads: 47662.69, writes: 10212.30, response time: 53.98ms (95%), errors: 0.00, reconnects:  0.00
[ 740s] threads: 112, tps: 1677.00, reads: 23519.85, writes: 5047.39, response time: 439.15ms (95%), errors: 0.00, reconnects:  0.00
[ 750s] threads: 112, tps: 753.90, reads: 10560.91, writes: 2262.90, response time: 545.59ms (95%), errors: 0.00, reconnects:  0.00
[ 760s] threads: 112, tps: 749.20, reads: 10442.32, writes: 2229.60, response time: 555.15ms (95%), errors: 0.00, reconnects:  0.00
[ 770s] threads: 112, tps: 2376.80, reads: 33270.59, writes: 7130.20, response time: 59.96ms (95%), errors: 0.00, reconnects:  0.00
[ 780s] threads: 112, tps: 5131.50, reads: 71834.80, writes: 15392.70, response time: 35.26ms (95%), errors: 0.00, reconnects:  0.00
[ 790s] threads: 112, tps: 5181.50, reads: 72533.39, writes: 15544.70, response time: 34.53ms (95%), errors: 0.00, reconnects:  0.00
[ 800s] threads: 112, tps: 2091.59, reads: 29344.97, writes: 6294.37, response time: 485.62ms (95%), errors: 0.00, reconnects:  0.00
[ 810s] threads: 112, tps: 933.90, reads: 13075.00, writes: 2801.70, response time: 477.26ms (95%), errors: 0.00, reconnects:  0.00
[ 820s] threads: 112, tps: 2091.61, reads: 29229.82, writes: 6256.33, response time: 424.93ms (95%), errors: 0.00, reconnects:  0.00
[ 830s] threads: 112, tps: 1484.70, reads: 20836.67, writes: 4471.99, response time: 557.14ms (95%), errors: 0.00, reconnects:  0.00
[ 840s] threads: 112, tps: 2630.00, reads: 36813.20, writes: 7884.80, response time: 53.03ms (95%), errors: 0.00, reconnects:  0.00
[ 850s] threads: 112, tps: 2049.50, reads: 28650.64, writes: 6135.31, response time: 306.17ms (95%), errors: 0.00, reconnects:  0.00
[ 860s] threads: 112, tps: 4975.20, reads: 69659.02, writes: 14925.60, response time: 37.85ms (95%), errors: 0.00, reconnects:  0.00
[ 870s] threads: 112, tps: 5111.30, reads: 71550.80, writes: 15335.70, response time: 36.01ms (95%), errors: 0.00, reconnects:  0.00
[ 880s] threads: 112, tps: 3142.59, reads: 44047.02, writes: 9444.38, response time: 38.11ms (95%), errors: 0.00, reconnects:  0.00
[ 890s] threads: 112, tps: 660.50, reads: 9247.18, writes: 1981.10, response time: 753.15ms (95%), errors: 0.00, reconnects:  0.00
[ 900s] threads: 112, tps: 485.10, reads: 6786.70, writes: 1454.30, response time: 1194.57ms (95%), errors: 0.00, reconnects:  0.00
