sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 5
Report intermediate results every 10 second(s)
Initializing random number generator from current time


Initializing worker threads...

setting write concern to 0
Threads started!

[ 460s] threads: 5, tps: 494.00, reads: 6917.40, writes: 1482.20, response time: 11.89ms (95%), errors: 0.00, reconnects:  0.00
[ 470s] threads: 5, tps: 498.00, reads: 6971.30, writes: 1493.80, response time: 11.70ms (95%), errors: 0.00, reconnects:  0.00
[ 480s] threads: 5, tps: 497.30, reads: 6964.20, writes: 1492.10, response time: 11.68ms (95%), errors: 0.00, reconnects:  0.00
[ 490s] threads: 5, tps: 498.20, reads: 6972.79, writes: 1494.40, response time: 11.65ms (95%), errors: 0.00, reconnects:  0.00
[ 500s] threads: 5, tps: 496.10, reads: 6947.20, writes: 1488.50, response time: 11.65ms (95%), errors: 0.00, reconnects:  0.00
[ 510s] threads: 5, tps: 496.50, reads: 6948.60, writes: 1489.30, response time: 11.66ms (95%), errors: 0.00, reconnects:  0.00
[ 520s] threads: 5, tps: 497.00, reads: 6959.30, writes: 1491.20, response time: 11.71ms (95%), errors: 0.00, reconnects:  0.00
[ 530s] threads: 5, tps: 508.70, reads: 7123.50, writes: 1526.10, response time: 10.68ms (95%), errors: 0.00, reconnects:  0.00
[ 540s] threads: 5, tps: 508.30, reads: 7113.00, writes: 1524.70, response time: 10.73ms (95%), errors: 0.00, reconnects:  0.00
[ 550s] threads: 5, tps: 509.50, reads: 7134.61, writes: 1528.50, response time: 10.71ms (95%), errors: 0.00, reconnects:  0.00
