sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 112
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 0
Initializing worker threads...

Threads started!

[ 450s] threads: 112, tps: 2872.90, reads: 40213.05, writes: 8617.31, response time: 190.56ms (95%), errors: 0.00, reconnects:  0.00
[ 460s] threads: 112, tps: 4207.79, reads: 58905.82, writes: 12623.18, response time: 46.21ms (95%), errors: 0.00, reconnects:  0.00
[ 470s] threads: 112, tps: 940.20, reads: 13224.25, writes: 2839.41, response time: 367.95ms (95%), errors: 0.00, reconnects:  0.00
[ 480s] threads: 112, tps: 865.60, reads: 12122.26, writes: 2598.19, response time: 403.48ms (95%), errors: 0.00, reconnects:  0.00
[ 490s] threads: 112, tps: 2568.69, reads: 35903.11, writes: 7686.08, response time: 54.16ms (95%), errors: 0.00, reconnects:  0.00
[ 500s] threads: 112, tps: 2539.51, reads: 35555.08, writes: 7617.92, response time: 50.30ms (95%), errors: 0.00, reconnects:  0.00
[ 510s] threads: 112, tps: 2609.11, reads: 36525.08, writes: 7827.52, response time: 48.46ms (95%), errors: 0.00, reconnects:  0.00
[ 520s] threads: 112, tps: 2768.10, reads: 38812.36, writes: 8324.69, response time: 50.09ms (95%), errors: 0.00, reconnects:  0.00
[ 530s] threads: 112, tps: 3659.40, reads: 51229.84, writes: 10977.61, response time: 49.36ms (95%), errors: 0.00, reconnects:  0.00
[ 540s] threads: 112, tps: 2824.09, reads: 39480.82, writes: 8453.08, response time: 50.10ms (95%), errors: 0.00, reconnects:  0.00
[ 550s] threads: 112, tps: 2549.91, reads: 35693.39, writes: 7649.92, response time: 47.96ms (95%), errors: 0.00, reconnects:  0.00
[ 560s] threads: 112, tps: 2341.90, reads: 32797.34, writes: 7027.49, response time: 52.67ms (95%), errors: 0.00, reconnects:  0.00
[ 570s] threads: 112, tps: 2639.10, reads: 36953.87, writes: 7916.51, response time: 74.69ms (95%), errors: 0.00, reconnects:  0.00
[ 580s] threads: 112, tps: 2613.40, reads: 36632.83, writes: 7858.39, response time: 51.96ms (95%), errors: 0.00, reconnects:  0.00
[ 590s] threads: 112, tps: 2337.21, reads: 32722.01, writes: 7012.02, response time: 54.04ms (95%), errors: 0.00, reconnects:  0.00
[ 600s] threads: 112, tps: 3173.39, reads: 44369.75, writes: 9501.57, response time: 52.89ms (95%), errors: 0.00, reconnects:  0.00
[ 610s] threads: 112, tps: 3189.71, reads: 44710.05, writes: 9586.53, response time: 54.50ms (95%), errors: 0.00, reconnects:  0.00
[ 620s] threads: 112, tps: 1067.40, reads: 14940.05, writes: 3200.99, response time: 387.97ms (95%), errors: 0.00, reconnects:  0.00
[ 630s] threads: 112, tps: 1769.60, reads: 24723.54, writes: 5291.59, response time: 320.42ms (95%), errors: 0.00, reconnects:  0.00
[ 640s] threads: 112, tps: 2158.21, reads: 30265.38, writes: 6491.42, response time: 328.68ms (95%), errors: 0.00, reconnects:  0.00
[ 650s] threads: 112, tps: 2056.50, reads: 28747.56, writes: 6152.31, response time: 293.78ms (95%), errors: 0.00, reconnects:  0.00
[ 660s] threads: 112, tps: 1080.20, reads: 15173.30, writes: 3260.20, response time: 788.68ms (95%), errors: 0.00, reconnects:  0.00
[ 670s] threads: 112, tps: 3954.10, reads: 55307.66, writes: 11842.69, response time: 50.98ms (95%), errors: 0.00, reconnects:  0.00
[ 680s] threads: 112, tps: 3555.00, reads: 49818.25, writes: 10684.19, response time: 49.92ms (95%), errors: 0.00, reconnects:  0.00
[ 690s] threads: 112, tps: 24.50, reads: 315.90, writes: 55.70, response time: 11113.49ms (95%), errors: 0.00, reconnects:  0.00
[ 700s] threads: 112, tps: 3226.29, reads: 45144.11, writes: 9678.08, response time: 63.03ms (95%), errors: 0.00, reconnects:  0.00
