sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 112
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 1
Initializing worker threads...

Threads started!

[  10s] threads: 112, tps: 3642.47, reads: 51129.60, writes: 10933.91, response time: 45.81ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 112, tps: 3857.90, reads: 54030.32, writes: 11571.90, response time: 43.34ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 112, tps: 4056.89, reads: 56793.50, writes: 12169.48, response time: 41.35ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 112, tps: 4780.41, reads: 66902.44, writes: 14340.63, response time: 36.15ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 112, tps: 5155.00, reads: 72149.81, writes: 15466.80, response time: 33.95ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 112, tps: 5266.10, reads: 73769.83, writes: 15798.29, response time: 34.45ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 112, tps: 5485.40, reads: 76774.86, writes: 16456.31, response time: 32.32ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 112, tps: 5543.60, reads: 77628.81, writes: 16629.60, response time: 32.34ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 112, tps: 5705.10, reads: 79863.79, writes: 17114.30, response time: 30.92ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 112, tps: 5770.50, reads: 80762.42, writes: 17311.80, response time: 30.50ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 112, tps: 5797.90, reads: 81191.80, writes: 17396.10, response time: 30.68ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 112, tps: 5901.30, reads: 82627.78, writes: 17701.40, response time: 28.98ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 112, tps: 5981.00, reads: 83730.79, writes: 17944.80, response time: 28.70ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 112, tps: 6033.40, reads: 84439.51, writes: 18097.70, response time: 28.41ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 112, tps: 6031.80, reads: 84477.90, writes: 18097.40, response time: 28.85ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 112, tps: 6100.00, reads: 85391.59, writes: 18301.40, response time: 27.99ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 112, tps: 6096.30, reads: 85323.82, writes: 18284.60, response time: 27.93ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 112, tps: 5311.40, reads: 74347.49, writes: 15935.60, response time: 34.31ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 112, tps: 6074.60, reads: 85044.61, writes: 18222.30, response time: 27.70ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 112, tps: 6092.10, reads: 85306.10, writes: 18278.90, response time: 27.38ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 112, tps: 6097.50, reads: 85358.49, writes: 18292.30, response time: 26.98ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 112, tps: 6097.20, reads: 85342.61, writes: 18290.20, response time: 27.24ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 112, tps: 6129.20, reads: 85822.21, writes: 18386.90, response time: 26.66ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 112, tps: 6138.30, reads: 85932.98, writes: 18415.10, response time: 26.58ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 112, tps: 6168.30, reads: 86351.83, writes: 18504.91, response time: 26.36ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 112, tps: 6160.60, reads: 86261.15, writes: 18483.29, response time: 26.55ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 112, tps: 6168.80, reads: 86372.23, writes: 18507.11, response time: 26.36ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 112, tps: 6185.80, reads: 86581.61, writes: 18555.40, response time: 26.24ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 112, tps: 6185.80, reads: 86607.19, writes: 18556.70, response time: 26.24ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 112, tps: 6112.00, reads: 85571.29, writes: 18337.30, response time: 26.21ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 112, tps: 6124.40, reads: 85733.31, writes: 18372.30, response time: 26.13ms (95%), errors: 0.00, reconnects:  0.00
