sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 112
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 0
Initializing worker threads...

Threads started!

[ 450s] threads: 112, tps: 1211.10, reads: 16952.95, writes: 3633.09, response time: 144.30ms (95%), errors: 0.00, reconnects:  0.00
[ 460s] threads: 112, tps: 1192.40, reads: 16692.63, writes: 3577.41, response time: 150.70ms (95%), errors: 0.00, reconnects:  0.00
[ 470s] threads: 112, tps: 1193.00, reads: 16710.22, writes: 3579.40, response time: 147.27ms (95%), errors: 0.00, reconnects:  0.00
[ 480s] threads: 112, tps: 1187.50, reads: 16624.38, writes: 3563.10, response time: 157.48ms (95%), errors: 0.00, reconnects:  0.00
[ 490s] threads: 112, tps: 1184.20, reads: 16568.40, writes: 3549.80, response time: 151.79ms (95%), errors: 0.00, reconnects:  0.00
[ 500s] threads: 112, tps: 1178.60, reads: 16506.82, writes: 3538.40, response time: 153.62ms (95%), errors: 0.00, reconnects:  0.00
[ 510s] threads: 112, tps: 1126.30, reads: 15765.16, writes: 3378.49, response time: 159.67ms (95%), errors: 0.00, reconnects:  0.00
[ 520s] threads: 112, tps: 1151.20, reads: 16119.12, writes: 3453.20, response time: 155.98ms (95%), errors: 0.00, reconnects:  0.00
[ 530s] threads: 112, tps: 1150.50, reads: 16107.51, writes: 3452.30, response time: 160.67ms (95%), errors: 0.00, reconnects:  0.00
[ 540s] threads: 112, tps: 1164.90, reads: 16304.28, writes: 3492.70, response time: 153.34ms (95%), errors: 0.00, reconnects:  0.00
[ 550s] threads: 112, tps: 1157.80, reads: 16209.70, writes: 3474.20, response time: 152.06ms (95%), errors: 0.00, reconnects:  0.00
[ 560s] threads: 112, tps: 1177.70, reads: 16490.12, writes: 3533.50, response time: 154.17ms (95%), errors: 0.00, reconnects:  0.00
[ 570s] threads: 112, tps: 1137.60, reads: 15927.67, writes: 3413.99, response time: 155.24ms (95%), errors: 0.00, reconnects:  0.00
[ 580s] threads: 112, tps: 1182.10, reads: 16543.50, writes: 3543.90, response time: 152.11ms (95%), errors: 0.00, reconnects:  0.00
[ 590s] threads: 112, tps: 1173.40, reads: 16435.59, writes: 3522.20, response time: 151.02ms (95%), errors: 0.00, reconnects:  0.00
[ 600s] threads: 112, tps: 963.10, reads: 13477.32, writes: 2887.30, response time: 220.14ms (95%), errors: 0.00, reconnects:  0.00
[ 610s] threads: 112, tps: 947.50, reads: 13263.10, writes: 2843.30, response time: 192.80ms (95%), errors: 0.00, reconnects:  0.00
[ 620s] threads: 112, tps: 1036.80, reads: 14523.20, writes: 3111.60, response time: 153.99ms (95%), errors: 0.00, reconnects:  0.00
[ 630s] threads: 112, tps: 1270.00, reads: 17776.11, writes: 3809.40, response time: 142.54ms (95%), errors: 0.00, reconnects:  0.00
[ 640s] threads: 112, tps: 1331.00, reads: 18634.27, writes: 3992.59, response time: 124.50ms (95%), errors: 0.00, reconnects:  0.00
[ 650s] threads: 112, tps: 1220.90, reads: 17086.89, writes: 3662.90, response time: 152.70ms (95%), errors: 0.00, reconnects:  0.00
[ 660s] threads: 112, tps: 1154.80, reads: 16171.03, writes: 3464.61, response time: 172.23ms (95%), errors: 0.00, reconnects:  0.00
[ 670s] threads: 112, tps: 1165.60, reads: 16320.32, writes: 3497.00, response time: 170.38ms (95%), errors: 0.00, reconnects:  0.00
[ 680s] threads: 112, tps: 1145.00, reads: 16034.69, writes: 3434.80, response time: 175.72ms (95%), errors: 0.00, reconnects:  0.00
[ 690s] threads: 112, tps: 1144.50, reads: 16017.70, writes: 3434.70, response time: 169.92ms (95%), errors: 0.00, reconnects:  0.00
[ 700s] threads: 112, tps: 1069.30, reads: 14980.22, writes: 3209.70, response time: 213.78ms (95%), errors: 0.00, reconnects:  0.00
[ 710s] threads: 112, tps: 1096.60, reads: 15350.58, writes: 3287.90, response time: 197.53ms (95%), errors: 0.00, reconnects:  0.00
[ 720s] threads: 112, tps: 1100.40, reads: 15399.60, writes: 3299.10, response time: 189.65ms (95%), errors: 0.00, reconnects:  0.00
[ 730s] threads: 112, tps: 1081.20, reads: 15138.79, writes: 3244.80, response time: 210.60ms (95%), errors: 0.00, reconnects:  0.00
[ 740s] threads: 112, tps: 1093.70, reads: 15310.01, writes: 3281.50, response time: 193.67ms (95%), errors: 0.00, reconnects:  0.00
[ 750s] threads: 112, tps: 1109.10, reads: 15532.10, writes: 3325.90, response time: 198.54ms (95%), errors: 0.00, reconnects:  0.00
[ 760s] threads: 112, tps: 1084.90, reads: 15179.09, writes: 3254.30, response time: 207.72ms (95%), errors: 0.00, reconnects:  0.00
[ 770s] threads: 112, tps: 1078.70, reads: 15111.81, writes: 3235.90, response time: 199.44ms (95%), errors: 0.00, reconnects:  0.00
[ 780s] threads: 112, tps: 1136.30, reads: 15896.70, writes: 3409.30, response time: 171.66ms (95%), errors: 0.00, reconnects:  0.00
[ 790s] threads: 112, tps: 1087.90, reads: 15242.11, writes: 3267.30, response time: 184.34ms (95%), errors: 0.00, reconnects:  0.00
[ 800s] threads: 112, tps: 1095.90, reads: 15331.07, writes: 3284.49, response time: 183.02ms (95%), errors: 0.00, reconnects:  0.00
[ 810s] threads: 112, tps: 1094.30, reads: 15321.21, writes: 3283.50, response time: 198.25ms (95%), errors: 0.00, reconnects:  0.00
[ 820s] threads: 112, tps: 1078.81, reads: 15111.47, writes: 3237.02, response time: 193.26ms (95%), errors: 0.00, reconnects:  0.00
