sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 112
Report intermediate results every 10 second(s)
Initializing random number generator from current time


setting write concern to 0
Initializing worker threads...

Threads started!

[ 450s] threads: 112, tps: 974.60, reads: 13638.20, writes: 2923.00, response time: 161.01ms (95%), errors: 0.00, reconnects:  0.00
[ 460s] threads: 112, tps: 1263.60, reads: 17709.72, writes: 3794.40, response time: 137.88ms (95%), errors: 0.00, reconnects:  0.00
[ 470s] threads: 112, tps: 1348.70, reads: 18869.00, writes: 4042.50, response time: 121.27ms (95%), errors: 0.00, reconnects:  0.00
[ 480s] threads: 112, tps: 1331.20, reads: 18641.02, writes: 3994.40, response time: 126.38ms (95%), errors: 0.00, reconnects:  0.00
[ 490s] threads: 112, tps: 1272.70, reads: 17813.04, writes: 3818.51, response time: 140.00ms (95%), errors: 0.00, reconnects:  0.00
[ 500s] threads: 112, tps: 1175.00, reads: 16449.96, writes: 3524.99, response time: 164.47ms (95%), errors: 0.00, reconnects:  0.00
[ 510s] threads: 112, tps: 1234.40, reads: 17276.04, writes: 3702.21, response time: 147.71ms (95%), errors: 0.00, reconnects:  0.00
[ 520s] threads: 112, tps: 927.10, reads: 12980.55, writes: 2781.89, response time: 253.63ms (95%), errors: 0.00, reconnects:  0.00
[ 530s] threads: 112, tps: 913.90, reads: 12795.81, writes: 2741.50, response time: 217.85ms (95%), errors: 0.00, reconnects:  0.00
[ 540s] threads: 112, tps: 962.00, reads: 13490.20, writes: 2889.40, response time: 174.82ms (95%), errors: 0.00, reconnects:  0.00
[ 550s] threads: 112, tps: 1105.70, reads: 15465.74, writes: 3314.51, response time: 156.40ms (95%), errors: 0.00, reconnects:  0.00
[ 560s] threads: 112, tps: 1338.60, reads: 18735.27, writes: 4015.39, response time: 124.62ms (95%), errors: 0.00, reconnects:  0.00
[ 570s] threads: 112, tps: 1317.60, reads: 18444.68, writes: 3952.80, response time: 131.32ms (95%), errors: 0.00, reconnects:  0.00
[ 580s] threads: 112, tps: 1255.00, reads: 17573.04, writes: 3765.21, response time: 142.41ms (95%), errors: 0.00, reconnects:  0.00
[ 590s] threads: 112, tps: 1186.00, reads: 16606.16, writes: 3558.39, response time: 167.10ms (95%), errors: 0.00, reconnects:  0.00
[ 600s] threads: 112, tps: 1126.00, reads: 15758.14, writes: 3377.61, response time: 181.38ms (95%), errors: 0.00, reconnects:  0.00
[ 610s] threads: 112, tps: 1075.00, reads: 15056.44, writes: 3225.59, response time: 186.00ms (95%), errors: 0.00, reconnects:  0.00
[ 620s] threads: 112, tps: 928.80, reads: 12997.10, writes: 2786.00, response time: 208.91ms (95%), errors: 0.00, reconnects:  0.00
[ 630s] threads: 112, tps: 943.60, reads: 13212.99, writes: 2830.00, response time: 194.19ms (95%), errors: 0.00, reconnects:  0.00
[ 640s] threads: 112, tps: 1015.50, reads: 14218.63, writes: 3047.11, response time: 161.25ms (95%), errors: 0.00, reconnects:  0.00
[ 650s] threads: 112, tps: 1325.00, reads: 18559.00, writes: 3975.20, response time: 124.32ms (95%), errors: 0.00, reconnects:  0.00
[ 660s] threads: 112, tps: 1371.60, reads: 19192.25, writes: 4114.61, response time: 119.43ms (95%), errors: 0.00, reconnects:  0.00
[ 670s] threads: 112, tps: 1302.89, reads: 18248.73, writes: 3908.88, response time: 131.20ms (95%), errors: 0.00, reconnects:  0.00
[ 680s] threads: 112, tps: 1237.10, reads: 17310.92, writes: 3711.90, response time: 160.24ms (95%), errors: 0.00, reconnects:  0.00
[ 690s] threads: 112, tps: 1212.60, reads: 16967.09, writes: 3635.00, response time: 159.09ms (95%), errors: 0.00, reconnects:  0.00
[ 700s] threads: 112, tps: 1170.60, reads: 16402.74, writes: 3515.21, response time: 173.37ms (95%), errors: 0.00, reconnects:  0.00
[ 710s] threads: 112, tps: 827.00, reads: 11575.31, writes: 2479.40, response time: 277.95ms (95%), errors: 0.00, reconnects:  0.00
[ 720s] threads: 112, tps: 887.10, reads: 12413.07, writes: 2661.89, response time: 235.90ms (95%), errors: 0.00, reconnects:  0.00
[ 730s] threads: 112, tps: 982.00, reads: 13754.02, writes: 2946.41, response time: 164.42ms (95%), errors: 0.00, reconnects:  0.00
[ 740s] threads: 112, tps: 1181.90, reads: 16546.87, writes: 3544.69, response time: 149.27ms (95%), errors: 0.00, reconnects:  0.00
[ 750s] threads: 112, tps: 1343.60, reads: 18816.68, writes: 4031.40, response time: 119.47ms (95%), errors: 0.00, reconnects:  0.00
[ 760s] threads: 112, tps: 1287.80, reads: 18027.37, writes: 3863.61, response time: 134.86ms (95%), errors: 0.00, reconnects:  0.00
[ 770s] threads: 112, tps: 1214.50, reads: 16992.00, writes: 3641.50, response time: 157.20ms (95%), errors: 0.00, reconnects:  0.00
[ 780s] threads: 112, tps: 1141.59, reads: 15988.93, writes: 3424.98, response time: 176.14ms (95%), errors: 0.00, reconnects:  0.00
[ 790s] threads: 112, tps: 1173.20, reads: 16421.43, writes: 3519.81, response time: 163.83ms (95%), errors: 0.00, reconnects:  0.00
[ 800s] threads: 112, tps: 983.20, reads: 13769.80, writes: 2951.00, response time: 242.27ms (95%), errors: 0.00, reconnects:  0.00
[ 810s] threads: 112, tps: 813.30, reads: 11378.23, writes: 2438.11, response time: 296.08ms (95%), errors: 0.00, reconnects:  0.00
[ 820s] threads: 112, tps: 885.00, reads: 12398.05, writes: 2657.39, response time: 199.73ms (95%), errors: 0.00, reconnects:  0.00
[ 830s] threads: 112, tps: 1147.90, reads: 16068.83, writes: 3442.31, response time: 151.02ms (95%), errors: 0.00, reconnects:  0.00
[ 840s] threads: 112, tps: 1334.10, reads: 18680.19, writes: 4002.10, response time: 121.30ms (95%), errors: 0.00, reconnects:  0.00
[ 850s] threads: 112, tps: 1335.30, reads: 18691.84, writes: 4005.71, response time: 127.29ms (95%), errors: 0.00, reconnects:  0.00
[ 860s] threads: 112, tps: 1189.20, reads: 16647.51, writes: 3567.80, response time: 168.00ms (95%), errors: 0.00, reconnects:  0.00
[ 870s] threads: 112, tps: 1126.00, reads: 15760.05, writes: 3377.79, response time: 192.92ms (95%), errors: 0.00, reconnects:  0.00
[ 880s] threads: 112, tps: 1070.00, reads: 14993.89, writes: 3210.80, response time: 170.08ms (95%), errors: 0.00, reconnects:  0.00
[ 890s] threads: 112, tps: 981.30, reads: 13734.22, writes: 2943.30, response time: 203.78ms (95%), errors: 0.00, reconnects:  0.00
[ 900s] threads: 112, tps: 927.10, reads: 12976.70, writes: 2780.90, response time: 196.24ms (95%), errors: 0.00, reconnects:  0.00
[ 910s] threads: 112, tps: 997.10, reads: 13954.43, writes: 2991.91, response time: 157.11ms (95%), errors: 0.00, reconnects:  0.00
[ 920s] threads: 112, tps: 1297.30, reads: 18168.16, writes: 3892.89, response time: 127.37ms (95%), errors: 0.00, reconnects:  0.00
[ 930s] threads: 112, tps: 1362.20, reads: 19066.54, writes: 4083.71, response time: 120.43ms (95%), errors: 0.00, reconnects:  0.00
[ 940s] threads: 112, tps: 1281.60, reads: 17942.07, writes: 3846.49, response time: 140.38ms (95%), errors: 0.00, reconnects:  0.00
[ 950s] threads: 112, tps: 1172.50, reads: 16415.27, writes: 3518.29, response time: 166.65ms (95%), errors: 0.00, reconnects:  0.00
[ 960s] threads: 112, tps: 1161.50, reads: 16266.91, writes: 3484.30, response time: 165.60ms (95%), errors: 0.00, reconnects:  0.00
[ 970s] threads: 112, tps: 1231.00, reads: 17232.45, writes: 3691.41, response time: 149.22ms (95%), errors: 0.00, reconnects:  0.00
[ 980s] threads: 112, tps: 953.60, reads: 13346.40, writes: 2862.00, response time: 228.47ms (95%), errors: 0.00, reconnects:  0.00
[ 990s] threads: 112, tps: 934.80, reads: 13096.19, writes: 2806.20, response time: 214.16ms (95%), errors: 0.00, reconnects:  0.00
[1000s] threads: 112, tps: 984.40, reads: 13781.90, writes: 2952.80, response time: 170.99ms (95%), errors: 0.00, reconnects:  0.00
[1010s] threads: 112, tps: 1151.00, reads: 16102.01, writes: 3451.00, response time: 150.75ms (95%), errors: 0.00, reconnects:  0.00
[1020s] threads: 112, tps: 1351.09, reads: 18915.53, writes: 4053.68, response time: 119.68ms (95%), errors: 0.00, reconnects:  0.00
[1030s] threads: 112, tps: 1323.01, reads: 18522.57, writes: 3969.62, response time: 126.76ms (95%), errors: 0.00, reconnects:  0.00
[1040s] threads: 112, tps: 1220.00, reads: 17075.90, writes: 3659.00, response time: 153.30ms (95%), errors: 0.00, reconnects:  0.00
[1050s] threads: 112, tps: 1238.30, reads: 17344.40, writes: 3715.30, response time: 140.38ms (95%), errors: 0.00, reconnects:  0.00
[1060s] threads: 112, tps: 1200.00, reads: 16799.16, writes: 3600.39, response time: 164.96ms (95%), errors: 0.00, reconnects:  0.00
[1070s] threads: 112, tps: 1082.80, reads: 15157.62, writes: 3248.20, response time: 191.48ms (95%), errors: 0.00, reconnects:  0.00
[1080s] threads: 112, tps: 876.80, reads: 12270.35, writes: 2630.19, response time: 232.89ms (95%), errors: 0.00, reconnects:  0.00
[1090s] threads: 112, tps: 944.20, reads: 13222.76, writes: 2832.61, response time: 189.60ms (95%), errors: 0.00, reconnects:  0.00
[1100s] threads: 112, tps: 1004.30, reads: 14059.70, writes: 3014.10, response time: 162.22ms (95%), errors: 0.00, reconnects:  0.00
[1110s] threads: 112, tps: 1326.60, reads: 18575.46, writes: 3977.39, response time: 124.39ms (95%), errors: 0.00, reconnects:  0.00
[1120s] threads: 112, tps: 1325.80, reads: 18572.39, writes: 3979.90, response time: 125.36ms (95%), errors: 0.00, reconnects:  0.00
[1130s] threads: 112, tps: 1266.60, reads: 17721.91, writes: 3798.10, response time: 147.45ms (95%), errors: 0.00, reconnects:  0.00
[1140s] threads: 112, tps: 1234.50, reads: 17281.84, writes: 3704.31, response time: 145.56ms (95%), errors: 0.00, reconnects:  0.00
[1150s] threads: 112, tps: 1141.50, reads: 15978.50, writes: 3423.70, response time: 187.79ms (95%), errors: 0.00, reconnects:  0.00
[1160s] threads: 112, tps: 1144.50, reads: 16026.80, writes: 3435.30, response time: 165.21ms (95%), errors: 0.00, reconnects:  0.00
[1170s] threads: 112, tps: 854.70, reads: 11973.27, writes: 2564.29, response time: 271.05ms (95%), errors: 0.00, reconnects:  0.00
[1180s] threads: 112, tps: 929.50, reads: 13005.48, writes: 2788.10, response time: 206.36ms (95%), errors: 0.00, reconnects:  0.00
[1190s] threads: 112, tps: 995.70, reads: 13929.32, writes: 2984.90, response time: 169.97ms (95%), errors: 0.00, reconnects:  0.00
[1200s] threads: 112, tps: 1156.50, reads: 16200.34, writes: 3469.91, response time: 147.27ms (95%), errors: 0.00, reconnects:  0.00
[1210s] threads: 112, tps: 1333.09, reads: 18666.72, writes: 4000.68, response time: 122.14ms (95%), errors: 0.00, reconnects:  0.00
[1220s] threads: 112, tps: 1303.10, reads: 18237.52, writes: 3909.50, response time: 129.33ms (95%), errors: 0.00, reconnects:  0.00
[1230s] threads: 112, tps: 1284.50, reads: 17981.65, writes: 3852.31, response time: 135.51ms (95%), errors: 0.00, reconnects:  0.00
[1240s] threads: 112, tps: 1263.30, reads: 17693.76, writes: 3790.49, response time: 142.50ms (95%), errors: 0.00, reconnects:  0.00
[1250s] threads: 112, tps: 1208.00, reads: 16908.18, writes: 3624.60, response time: 159.90ms (95%), errors: 0.00, reconnects:  0.00
[1260s] threads: 112, tps: 1043.30, reads: 14604.79, writes: 3129.50, response time: 206.98ms (95%), errors: 0.00, reconnects:  0.00
[1270s] threads: 112, tps: 833.60, reads: 11671.10, writes: 2501.20, response time: 278.96ms (95%), errors: 0.00, reconnects:  0.00
[1280s] threads: 112, tps: 805.20, reads: 11273.60, writes: 2414.80, response time: 274.48ms (95%), errors: 0.00, reconnects:  0.00
[1290s] threads: 112, tps: 1027.50, reads: 14384.30, writes: 3082.90, response time: 161.44ms (95%), errors: 0.00, reconnects:  0.00
[1300s] threads: 112, tps: 1215.80, reads: 17030.47, writes: 3648.41, response time: 138.71ms (95%), errors: 0.00, reconnects:  0.00
[1310s] threads: 112, tps: 1345.60, reads: 18837.36, writes: 4037.79, response time: 120.98ms (95%), errors: 0.00, reconnects:  0.00
[1320s] threads: 112, tps: 1152.80, reads: 16133.44, writes: 3458.01, response time: 181.82ms (95%), errors: 0.00, reconnects:  0.00
[1330s] threads: 112, tps: 1080.60, reads: 15121.86, writes: 3240.19, response time: 175.61ms (95%), errors: 0.00, reconnects:  0.00
[1340s] threads: 112, tps: 1226.90, reads: 17181.39, writes: 3680.60, response time: 144.04ms (95%), errors: 0.00, reconnects:  0.00
[1350s] threads: 112, tps: 1266.80, reads: 17748.08, writes: 3803.30, response time: 134.50ms (95%), errors: 0.00, reconnects:  0.00
[1360s] threads: 112, tps: 1092.60, reads: 15288.07, writes: 3275.41, response time: 175.14ms (95%), errors: 0.00, reconnects:  0.00
[1370s] threads: 112, tps: 869.40, reads: 12161.43, writes: 2606.79, response time: 233.10ms (95%), errors: 0.00, reconnects:  0.00
[1380s] threads: 112, tps: 982.70, reads: 13767.14, writes: 2949.51, response time: 171.76ms (95%), errors: 0.00, reconnects:  0.00
[1390s] threads: 112, tps: 1127.50, reads: 15780.60, writes: 3383.10, response time: 152.84ms (95%), errors: 0.00, reconnects:  0.00
[1400s] threads: 112, tps: 1341.50, reads: 18782.21, writes: 4024.10, response time: 122.69ms (95%), errors: 0.00, reconnects:  0.00
[1410s] threads: 112, tps: 1289.30, reads: 18056.40, writes: 3866.50, response time: 133.54ms (95%), errors: 0.00, reconnects:  0.00
[1420s] threads: 112, tps: 1271.30, reads: 17786.19, writes: 3813.70, response time: 134.38ms (95%), errors: 0.00, reconnects:  0.00
[1430s] threads: 112, tps: 1244.30, reads: 17420.68, writes: 3732.50, response time: 155.28ms (95%), errors: 0.00, reconnects:  0.00
[1440s] threads: 112, tps: 1242.30, reads: 17395.47, writes: 3729.31, response time: 149.27ms (95%), errors: 0.00, reconnects:  0.00
[1450s] threads: 112, tps: 1110.50, reads: 15549.10, writes: 3329.30, response time: 182.36ms (95%), errors: 0.00, reconnects:  0.00
[1460s] threads: 112, tps: 893.90, reads: 12510.87, writes: 2681.49, response time: 241.40ms (95%), errors: 0.00, reconnects:  0.00
[1470s] threads: 112, tps: 917.90, reads: 12853.40, writes: 2755.70, response time: 207.72ms (95%), errors: 0.00, reconnects:  0.00
[1480s] threads: 112, tps: 1008.70, reads: 14116.40, writes: 3025.30, response time: 155.51ms (95%), errors: 0.00, reconnects:  0.00
[1490s] threads: 112, tps: 1250.30, reads: 17511.94, writes: 3750.11, response time: 134.14ms (95%), errors: 0.00, reconnects:  0.00
[1500s] threads: 112, tps: 1332.00, reads: 18646.50, writes: 3997.60, response time: 122.76ms (95%), errors: 0.00, reconnects:  0.00
[1510s] threads: 112, tps: 1272.80, reads: 17815.20, writes: 3816.60, response time: 139.29ms (95%), errors: 0.00, reconnects:  0.00
[1520s] threads: 112, tps: 1161.10, reads: 16261.60, writes: 3483.30, response time: 175.72ms (95%), errors: 0.00, reconnects:  0.00
[1530s] threads: 112, tps: 1199.10, reads: 16782.20, writes: 3599.10, response time: 155.89ms (95%), errors: 0.00, reconnects:  0.00
[1540s] threads: 112, tps: 1189.30, reads: 16654.20, writes: 3566.70, response time: 156.31ms (95%), errors: 0.00, reconnects:  0.00
[1550s] threads: 112, tps: 1014.70, reads: 14199.87, writes: 3044.69, response time: 195.12ms (95%), errors: 0.00, reconnects:  0.00
[1560s] threads: 112, tps: 905.70, reads: 12687.60, writes: 2717.10, response time: 227.10ms (95%), errors: 0.00, reconnects:  0.00
[1570s] threads: 112, tps: 944.80, reads: 13232.53, writes: 2834.41, response time: 184.50ms (95%), errors: 0.00, reconnects:  0.00
[1580s] threads: 112, tps: 1128.70, reads: 15783.91, writes: 3384.90, response time: 155.79ms (95%), errors: 0.00, reconnects:  0.00
[1590s] threads: 112, tps: 1347.70, reads: 18876.40, writes: 4044.10, response time: 117.76ms (95%), errors: 0.00, reconnects:  0.00
[1600s] threads: 112, tps: 1311.09, reads: 18357.13, writes: 3933.68, response time: 127.37ms (95%), errors: 0.00, reconnects:  0.00
[1610s] threads: 112, tps: 1268.70, reads: 17770.33, writes: 3807.51, response time: 132.46ms (95%), errors: 0.00, reconnects:  0.00
[1620s] threads: 112, tps: 1213.90, reads: 16988.50, writes: 3640.50, response time: 160.58ms (95%), errors: 0.00, reconnects:  0.00
[1630s] threads: 112, tps: 1232.40, reads: 17252.79, writes: 3696.40, response time: 147.89ms (95%), errors: 0.00, reconnects:  0.00
[1640s] threads: 112, tps: 1108.40, reads: 15518.48, writes: 3325.80, response time: 175.09ms (95%), errors: 0.00, reconnects:  0.00
[1650s] threads: 112, tps: 878.70, reads: 12299.30, writes: 2634.10, response time: 242.64ms (95%), errors: 0.00, reconnects:  0.00
[1660s] threads: 112, tps: 917.00, reads: 12839.35, writes: 2753.41, response time: 207.72ms (95%), errors: 0.00, reconnects:  0.00
[1670s] threads: 112, tps: 996.40, reads: 13946.17, writes: 2989.19, response time: 159.19ms (95%), errors: 0.00, reconnects:  0.00
